book_id,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,0072262788,9780072262780,eng,260,24,0,2006-01-24,McGraw-Hill
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,eng,384,55,4,2004-09-17,Wiley
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9780471933823,eng,260,9,0,2006-06-06,Wiley
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,9780764559914,en-US,391,22,1,2004-05-31,Wiley
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,en-US,864,17,3,2005-04-25,Wiley
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,9780596523695,eng,873,166,4,2006-07-29,O'Reilly Media
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240,50,5,2005-05-03,Citadel
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206,13,2,2005-05-03,Citadel
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,9780596527310,eng,514,64,1,2007-01-01,O'Reilly Media
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838,16643,1851,2004-05-31,Penguin Classics
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,0451528611,9780451528612,eng,960,109420,5696,2002-11-05,Signet
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,0140449175,9780140449174,eng,837,2904,309,2003-01-30,Penguin Books
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,0822001837,9780822001836,eng,80,16,3,1965-11-26,Cliffs Notes
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9781593080273,eng,803,9564,726,2003-07-01,Barnes & Noble Classics
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,0486437965,9780486437965,eng,752,474,72,2004-11-23,Dover Publications
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9781593081775,eng,803,303,48,2004-08-26,Barnes & Noble
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,360,411,65,2006-01-28,Mira Books
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128,1204,33,1987-11-26,Cambridge University Press
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,0140183957,9780140183955,eng,160,3429,279,1990-07-03,Penguin Books
163,The Untouchable,John Banville,3.95,0679767479,9780679767473,eng,367,2163,216,1998-06-30,Vintage
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9781568491981,eng,256,613,31,1996-02-01,Buccaneer Books
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,en-US,320,308,40,2005-09-27,Scribner
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.20,0932863051,9780932863058,eng,100,10,0,1995-01-28,Clarity Press
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,0742508803,9780742508804,eng,224,16,4,2000-12-20,Rowman & Littlefield Publishers
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.40,0205358624,9780205358625,eng,216,10,0,2003-09-22,Pearson
177,A Wrinkle in Time: A Guide for Using "A Wrinkle in Time" in the Classroom,John Carratello/Patty Carratello/Theresa Wright,4.00,1557344035,9781557344038,eng,48,17,0,1991-09-28,Teacher Created Resources
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,0380720442,9780380720446,eng,360,1035,23,1994-10-01,Harper Perennial
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.00,0821925326,9780821925324,eng,250,36,6,2002-05-01,EMC/Paradigm Publishing
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.60,043927169X,9780439271691,eng,32,15,0,2002-01-01,Teaching Resources
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.00,0606105263,9780606105262,spa,205,6,1,1984-06-01,Turtleback Books
204,The Long Shadow (The Morland Dynasty #6),Cynthia Harrod-Eagles,4.12,0751506435,9780751506433,eng,367,376,17,1994-06-01,Little Brown Book Group
205,A Long Shadow (Inspector Ian Rutledge #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,3086,237,2006-01-03,William Morrow
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,0743499344,9780743499347,en-US,320,352,44,2005-11-01,Atria Books
208,A Shadow in Summer (Long Price Quartet #1),Daniel Abraham,3.60,0765313405,9780765313409,eng,331,9852,633,2006-03-07,Tor Books
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.90,1400032490,9781400032495,eng,244,821,78,2004-08-10,Vintage Crime/Black Lizard
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9781400032488,eng,215,731,72,2005-03-08,Vintage Crime/Black Lizard
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9781400032464,eng,191,2897,178,2004-08-10,Vintage Crime/Black Lizard
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,9780679732525,eng,144,98,11,1990-10-03,Vintage
231,I am Charlotte Simmons,Tom Wolfe,3.42,0312424442,9780312424442,eng,738,20888,1688,2005-08-30,Picador USA
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,0806930772,9780806930770,eng,48,66,19,2001-10-01,Sterling
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,0140366601,9780140366600,eng,287,81,6,1996-10-03,Puffin
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,0811201120,9780811201124,eng,217,981,52,1964-02-01,New Directions Publishing
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9780802130167,eng,154,3381,141,1994-01-13,Grove Press
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,0802131786,9780802131782,eng,318,53206,2376,1994-01-06,Grove Press
250,Tropic of Capricorn,Henry Miller,3.78,0802151825,9780802151827,eng,348,14872,459,1994-01-13,Grove Press
251,Nexus (The Rosy Crucifixion #3),Henry Miller,4.10,0802151787,9780802151780,eng,316,3261,58,1994-01-13,Grove Press
252,Sexus (The Rosy Crucifixion #1),Henry Miller,3.98,0802151809,9780802151803,eng,506,7805,251,1994-01-12,Grove Press
253,The Air-Conditioned Nightmare,Henry Miller,3.83,0811201066,9780811201063,eng,292,2699,142,1970-01-17,New Directions
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,0141439637,9780141439631,eng,797,61640,1951,2003-09-30,Penguin Classics
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,9781593080969,eng,635,392,41,2004-01-16,Barnes Noble Classics
277,Writing,Marguerite Duras,3.75,1571290532,9781571290533,eng,91,778,44,1999-05-06,Brookline Books
278,The War,Marguerite Duras/Barbara Bray,3.85,1565842219,9781565842212,eng,192,963,65,1994-08-01,The New Press
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,0394743040,9780394743042,en-US,181,2057,128,1986-03-12,Pantheon
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,9781851681822,eng,178,203,8,1999-07-01,One World (UK)
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,9781566562492,eng,464,35,2,1998-04-01,Interlink Publishing Group
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,9780140195538,eng,102,328,16,1998-01-01,Penguin Books
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,0394431243,9780394431246,eng,216,1308,82,1995-02-21,Knopf
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,0806501901,9780806501901,eng,132,6432,517,2003-03-03,Citadel
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,9780679439202,eng,100,3015,217,2011-06-14,Knopf
295,Treasure Island,Robert Louis Stevenson,3.83,0753453800,9780753453803,eng,311,318753,6734,2001-09-15,Kingfisher
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,9781402714573,en-US,213,420,42,2004-10-01,Sterling Children's Books
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,9781416500292,eng,245,5967,276,2005-06-01,Simon & Schuster
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,0689854684,9780689854682,eng,64,104,14,2003-07-01,Atheneum Books for Young Readers
299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,0517221144,9780517221143,en-US,272,56,4,2002-09-03,Gramercy Books
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,9781577658054,eng,232,91,16,2006-01-31,Abdo Publishing Company
313,100 Years of Lynchings,Ralph Ginzburg,4.61,0933121180,9780933121188,eng,270,88,4,1996-11-22,Black Classic Press
324,Cien años de soledad,Gabriel García Márquez,4.07,0785950109,9780785950103,spa,448,63,7,1990-01-01,French & European
330,On Beyond Zebra!,Dr. Seuss,4.04,0394800842,9780394800844,eng,64,2815,164,1955-09-12,Random House Books for Young Readers
332,The Wedding Clause,Debbie Raleigh,3.60,0821778250,9780821778258,eng,256,95,13,2005-06-07,Zebra
333,The Zebra Wall,Kevin Henkes,3.44,0060733039,9780060733032,eng,147,217,24,2005-02-15,Greenwillow Books
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9788432216060,spa,239,4136,255,2002-06-01,Booket
348,The Door Into Summer,Robert A. Heinlein,4.01,0345413997,9780345413994,eng,304,17232,649,1997-06-17,Del Rey
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,0441788386,9780441788385,eng,528,251872,6241,1991-10-01,Ace
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0441748600,9780441748600,en-US,434,10293,193,1988-06-01,Ace Books
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,0345316509,9780345316509,en-US,439,15970,438,1985-10-12,Del Rey
356,Time for the Stars (Heinlein's Juveniles #10),Robert A. Heinlein,3.97,0765314932,9780765314932,eng,256,6898,200,2006-08-08,Tor Books
357,The Long Dark Tea-Time of the Soul (Dirk Gently #2),Douglas Adams,4.06,0671742515,9780671742515,en-US,307,67803,1401,1991-02-15,Pocket Books
359,The Salmon of Doubt (Dirk Gently #3),Douglas Adams,3.93,0345455290,9780345455291,eng,298,22091,746,2005-04-26,Del Rey
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick Webb,4.14,0345476514,9780345476517,eng,368,2623,49,2005-12-27,Del Rey
367,Douglas Adams's Starship Titanic,Terry Jones,3.60,0345368436,9780345368430,eng,256,885,84,1998-10-27,Ballantine Books
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,1417622857,9781417622856,eng,336,5,0,2003-07-01,Turtleback Books
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,0573650969,9780573650963,eng,72,100,13,2011-01-12,Samuel French Inc.
385,On Bullshit,Harry G. Frankfurt,3.57,0691122946,9780691122946,eng,67,9358,995,2005-01-30,Princeton University Press
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,0393329402,9780393329407,eng,347,9318,907,2005-09-12,W. W. Norton & Company
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,0671867423,9780671867423,en-US,317,120,15,1993-06-12,Simon & Schuster
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,0395883970,9780395883976,eng,32,5239,76,1998-02-02,HMH Books for Young Readers
399,Underworld,Don DeLillo,3.92,0684848155,9780684848150,eng,827,1505,175,1998-07-09,Scribner
400,Libra,Don DeLillo,3.99,0140156046,9780140156041,eng,480,11857,564,1991-05-01,Penguin
403,Americana,Don DeLillo,3.43,0140119485,9780140119480,eng,377,393,55,1989-07-06,Penguin Books
404,Running Dog,Don DeLillo,3.43,0679722947,9780679722946,eng,256,1356,72,1989-07-17,Vintage Contemporaries
406,Cosmopolis,Don DeLillo,3.22,0743244257,9780743244251,eng,224,460,41,2004-04-06,Scribner
407,Great Jones Street,Don DeLillo,3.48,0140179178,9780140179170,eng,272,2492,145,1994-01-01,Penguin Books
408,The Names,Don DeLillo,3.64,0679722955,9780679722953,eng,339,3100,212,1989-07-17,Vintage
409,Against the Day,Thomas Pynchon,4.13,159420120X,9781594201202,eng,1085,5296,587,2006-11-21,Penguin Press
410,V.,Thomas Pynchon,3.96,0060930217,9780060930219,eng,547,1415,177,2005-07-05,Harper Perennial Modern Classics
411,The Crying of Lot 49,Thomas Pynchon,3.69,0060931671,9780060931674,eng,152,2161,230,1999-04-01,Harper Perennial
412,Gravity's Rainbow,Thomas Pynchon,4.01,0140283382,9780140283389,eng,784,762,213,2000-01-01,Penguin Books
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,0312423209,9780312423209,eng,773,8086,602,2004-01-03,Picador USA
414,Vineland,Thomas Pynchon,3.69,0141180633,9780141180632,en-US,385,702,69,1997-09-01,Penguin Classics
415,Gravity's Rainbow,Thomas Pynchon,4.01,0143039946,9780143039945,eng,776,29764,2164,2006-10-31,Penguin Books
416,Slow Learner: Early Stories,Thomas Pynchon,3.50,0316724432,9780316724432,eng,193,334,34,1985-04-30,Back Bay Books
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.80,0140189300,9780140189308,eng,352,2473,220,1996-08-29,Penguin Classics
420,The Year of Magical Thinking,Joan Didion,3.89,140004314X,9781400043149,en-US,227,2656,336,2005-10-04,Knopf Publishing Group
421,The White Album,Joan Didion,4.17,0374522219,9780374522216,eng,222,11889,738,1990-10-01,Farrar Straus Giroux
422,A Book of Common Prayer,Joan Didion,3.80,0679754865,9780679754862,eng,272,2962,255,1995-04-11,Vintage International
423,Where I Was From,Joan Didion,3.86,0679752862,9780679752868,eng,240,2842,292,2004-09-14,Vintage
424,Slouching Towards Bethlehem,Joan Didion,4.21,0374521727,9780374521721,eng,238,26934,1825,1990-10-01,Farrar Straus Giroux
425,Democracy,Joan Didion,3.81,0679754857,9780679754855,en-US,234,2070,169,1995-04-25,Vintage International
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.50,0307264874,9780307264879,eng,1122,1564,108,2006-10-17,Everyman's Library
428,Play It As It Lays,Joan Didion/David Thomson,3.87,0374529949,9780374529949,eng,231,23656,1706,2005-11-15,Farrar Straus and Giroux
