book_id,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,author
27,"Neither Here nor There: Travels in Europe","Bill Bryson",3.86,0380713802,9780380713806,eng,254,48701,2238,1993-03-28,"William Morrow Paperbacks","Bill Bryson"
28,"Notes from a Small Island","Bill Bryson",3.91,0380727501,9780380727506,eng,324,80609,3301,1997-05-28,"William Morrow Paperbacks","Bill Bryson"
29,"The Mother Tongue: English and How It Got That Way","Bill Bryson",3.93,0380715430,9780380715435,eng,270,28489,2085,1991-09-28,"William Morrow Paperbacks","Bill Bryson"
30,"J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings","J.R.R. Tolkien",4.59,0345538374,9780345538376,eng,1728,101233,1550,2012-09-25,"Ballantine Books","J.R.R. Tolkien"
31,"The Lord of the Rings (The Lord of the Rings #1-3)","J.R.R. Tolkien",4.5,0618517650,9780618517657,eng,1184,1710,91,2004-10-21,"Houghton Mifflin Harcourt","J.R.R. Tolkien"
34,"The Fellowship of the Ring (The Lord of the Rings #1)","J.R.R. Tolkien",4.36,0618346252,9780618346257,eng,398,2128944,13670,2003-09-05,"Houghton Mifflin Harcourt","J.R.R. Tolkien"
35,"The Lord of the Rings (The Lord of the Rings #1-3)","J.R.R. Tolkien/Alan Lee",4.5,0618260587,9780618260584,eng,1216,1618,140,2002-10-01,"Houghton Mifflin Harcourt","J.R.R. Tolkien"
36,"The Lord of the Rings: Weapons and Warfare","Chris Smith/Christopher Lee/Richard Taylor",4.53,0618391002,9780618391004,eng,218,19822,46,2003-11-05,"Houghton Mifflin Harcourt","Chris Smith"
37,"The Lord of the Rings: Complete Visual Companion","Jude Fisher",4.5,0618510826,9780618510825,eng,224,359,6,2004-11-15,"Houghton Mifflin Harcourt","Jude Fisher"
45,"Agile Web Development with Rails: A Pragmatic Guide","Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas Fuchs/Andreas Schwarz",3.84,097669400X,9780976694007,eng,558,1430,59,2005-07-28,"Pragmatic Bookshelf","Dave Thomas"
50,"Hatchet (Brian's Saga #1)","Gary Paulsen",3.72,0689840926,9780689840920,eng,208,270244,12017,2000-04-01,"Atheneum Books for Young Readers: Richard Jackson Books","Gary Paulsen"
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom","Donna Ickes/Edward Sciranko/Keith Vasconcelles",4.0,1557344493,9781557344496,eng,48,36,2,1994-08-28,"Teacher Created Resources","Donna Ickes"
53,"Guts: The True Stories behind Hatchet and the Brian Books","Gary Paulsen",3.88,0385326505,9780385326506,eng,144,2067,334,2001-01-23,"Delacorte Press","Gary Paulsen"
54,"Molly Hatchet - 5 of the Best","Molly Hatchet",4.33,1575606240,9781575606248,eng,56,6,0,2003-06-10,"Cherry Lane Music Company","Molly Hatchet"
55,"Hatchet Jobs: Writings on Contemporary Fiction","Dale Peck",3.45,1595580271,9781595580276,eng,228,99,16,2005-11-01,"The New Press","Dale Peck"
57,"A Changeling for All Seasons (Changeling Seasons #1)","Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati",3.76,1595962808,9781595962805,eng,304,167,4,2005-11-01,"Changeling Press","Angela Knight"
58,"Changeling (Changeling #1)","Delia Sherman",3.6,0670059676,9780670059676,eng,256,978,111,2006-08-17,"Viking Juvenile","Delia Sherman"
59,"The Changeling Sea","Patricia A. McKillip",4.06,0141312629,9780141312620,eng,137,4454,302,2003-04-14,Firebird,"Patricia A. McKillip"
61,"The Changeling","Zilpha Keatley Snyder",4.17,0595321801,9780595321803,eng,228,1176,96,2004-06-08,iUniverse,"Zilpha Keatley Snyder"
63,"The Changeling","Kate Horsley",3.55,1590301943,9781590301944,eng,339,301,43,2005-04-12,Shambhala,"Kate Horsley"
66,"The Changeling (Daughters of England #15)","Philippa Carr",3.98,0449146979,9780449146972,eng,369,345,12,1990-08-28,"Ivy Books","Philippa Carr"
67,"The Known World","Edward P. Jones",3.83,0061159174,9780061159176,eng,388,29686,2626,2006-08-29,Amistad,"Edward P. Jones"
68,"The Known World","Edward P. Jones/Kevin R. Free",3.83,006076273X,9780060762735,eng,14,55,12,2004-06-15,HarperAudio,"Edward P. Jones"
69,"The Known World","Edward P. Jones",3.83,0060749911,9780060749910,eng,576,22,3,2004-06-15,Harper,"Edward P. Jones"
71,"Traders Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives","Satyajit Das",3.83,0273704745,9780273704744,eng,334,1456,82,2006-05-15,"FT Press","Satyajit Das"
72,"Artesia: Adventures in the Known World","Mark Smylie",4.13,1932386106,9781932386103,eng,352,52,4,2005-12-14,Archaia,"Mark Smylie"
74,"The John McPhee Reader (John McPhee Reader #1)","John McPhee/William Howarth",4.42,0374517193,9780374517199,eng,416,562,37,1982-06-01,"Farrar Straus and Giroux","John McPhee"
75,"Uncommon Carriers","John McPhee",3.95,0374280398,9780374280390,eng,248,1630,203,2006-05-16,"Farrar Straus Giroux","John McPhee"
76,"Heirs of General Practice","John McPhee",4.17,0374519749,9780374519742,eng,128,268,22,1986-04-01,"Farrar Straus and Giroux","John McPhee"
77,"The Control of Nature","John McPhee",4.24,0374522596,9780374522599,eng,288,3498,305,1990-09-01,"Farrar Straus and Giroux","John McPhee"
78,"Annals of the Former World","John McPhee",4.34,0374518734,9780374518738,eng,720,3115,228,1999-01-06,"Farrar Straus and Giroux","John McPhee"
79,"Coming Into the Country","John McPhee",4.22,0374522871,9780374522872,eng,448,5704,261,1991-04-01,"Farrar Straus and Giroux","John McPhee"
80,"La Place de la Concorde Suisse","John McPhee",3.92,0374519323,9780374519322,fre,160,698,52,1994-04-01,"Farrar Straus and Giroux","John McPhee"
81,"Giving Good Weight","John McPhee",4.23,0374516006,9780374516000,eng,288,542,36,1994-04-01,"Farrar Straus and Giroux","John McPhee"
83,"Rising from the Plains","John McPhee",4.23,0374520658,9780374520656,eng,208,1341,98,1987-11-01,"Farrar Straus and Giroux","John McPhee"
85,"The Heidi Chronicles","Wendy Wasserstein",3.75,0822205106,9780822205104,eng,81,1423,70,2002-03-01,"Dramatists Play Service","Wendy Wasserstein"
86,"The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic","Wendy Wasserstein",3.84,0679734996,9780679734994,eng,249,2766,64,1991-07-02,Vintage,"Wendy Wasserstein"
89,"Active Literacy Across the Curriculum: Strategies for Reading Writing Speaking and Listening","Heidi Hayes Jacobs",3.94,1596670231,9781596670235,eng,138,31,1,2006-03-29,Routledge,"Heidi Hayes Jacobs"
90,"Simply Beautiful Beaded Jewelry","Heidi Boyd",3.77,1581807740,9781581807745,eng,128,62,4,2006-03-14,"North Light Books","Heidi Boyd"
91,"Always Enough: God's Miraculous Provision Among the Poorest Children on Earth","Heidi Baker/Rolland Baker",4.46,0800793617,9780800793616,eng,192,860,53,2003-09-01,"Chosen Books","Heidi Baker"
92,"Mapping the Big Picture: Integrating Curriculum & Assessment K-12","Heidi Hayes Jacobs",3.68,0871202867,9780871202864,eng,108,77,2,1997-01-28,"Association for Supervision & Curriculum Development","Heidi Hayes Jacobs"
93,"Heidi (Heidi #1-2)","Johanna Spyri/Beverly Cleary/Angelo Rinaldi",3.99,0753454947,9780753454947,eng,352,153317,2257,2002-11-15,Kingfisher,"Johanna Spyri"
94,"Getting Results with Curriculum Mapping","Heidi Hayes Jacobs",3.25,0871209993,9780871209993,eng,192,55,5,2004-11-15,ASCD,"Heidi Hayes Jacobs"
96,"There's Always Enough: The Miraculous Move of God in Mozambique","Rolland Baker/Heidi Baker",4.46,1852402873,9781852402877,eng,192,34,6,2003-04-28,"Sovereign World","Rolland Baker"
98,"What to Expect the First Year (What to Expect)","Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome",3.89,0761129588,9780761129585,eng,832,11797,659,2003-10-16,"Workman Publishing Company","Heidi Murkoff"
99,"The Player's Handbook: The Ultimate Guide on Dating and Relationships","Heidi Fleiss/Libby Keatinge",3.82,0972016414,9780972016414,eng,123,34,8,2004-05-10,"One Hour Entertainment","Heidi Fleiss"
100,"Simply Beautiful Beading: 53 Quick and Easy Projects","Heidi Boyd",3.78,1581805632,9781581805635,eng,128,78,4,2004-08-19,"North Light Books","Heidi Boyd"
103,"God Emperor of Dune (Dune Chronicles #4)","Frank Herbert",3.84,0441294677,9780441294671,eng,423,2785,166,1987-06-15,"Ace Books","Frank Herbert"
105,"Chapterhouse: Dune (Dune Chronicles #6)","Frank Herbert",3.91,0441102670,9780441102679,eng,436,38778,568,1987-07-01,"Ace Books","Frank Herbert"
106,"Dune Messiah (Dune Chronicles #2)","Frank Herbert",3.88,0441172695,9780441172696,eng,331,97494,2359,1987-07-15,"Ace Books","Frank Herbert"
107,"Dreamer of Dune: The Biography of Frank Herbert","Brian Herbert",4.01,0765306476,9780765306470,eng,592,784,21,2004-07-01,"Tor Books","Brian Herbert"
109,"Heretics of Dune (Dune Chronicles #5)","Frank Herbert",3.86,0399128980,9780399128981,eng,480,272,20,1984-04-16,Putnam,"Frank Herbert"
110,"The Road to Dune","Frank Herbert/Brian Herbert/Kevin J. Anderson",3.88,0765353709,9780765353702,eng,426,4789,83,2006-08-29,"Tor Science Fiction","Frank Herbert"
117,"Heretics of Dune (Dune Chronicles #5)","Frank Herbert",3.86,0441328008,9780441328000,eng,471,45388,644,1987-08-15,"Ace Books","Frank Herbert"
119,"The Lord of the Rings: The Art of the Fellowship of the Ring","Gary Russell",4.59,0618212906,9780618212903,eng,192,26153,102,2002-06-12,"Houghton Mifflin Harcourt","Gary Russell"
122,"The Power of One (The Power of One #1)","Bryce Courtenay",4.35,034541005X,9780345410054,eng,544,69167,4551,1996-09-29,"Ballantine Books","Bryce Courtenay"
123,"The Power of One (The Power of One #1)","Bryce Courtenay",4.35,0385732546,9780385732543,eng,291,45,13,2005-09-13,"Delacorte Books for Young Readers","Bryce Courtenay"
129,"The Power of One: One Person One Rule One Month","John C. Maxwell/Stephen R. Graves/Thomas G. Addington",4.28,0785260056,9780785260059,eng,256,16,1,2004-11-01,"Thomas Nelson","John C. Maxwell"
130,"Power of an Hour: Business and Life Mastery in One Hour a Week","Dave Lakhani",3.34,0471780936,9780471780939,eng,205,174,16,2006-05-19,Wiley,"Dave Lakhani"
131,"The Power of One: The Solo Play for Playwrights Actors and Directors","Louis E. Catron",3.67,0325001537,9780325001531,eng,240,10,0,2000-02-07,"Heinemann Drama","Louis E. Catron"
132,"How to Buy Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days","Adam Ginsberg",3.48,006076287X,9780060762872,eng,336,76,9,2005-05-03,"William Morrow Paperbacks","Adam Ginsberg"
133,"eBay for Dummies","Marsha Collier",3.5,0470045299,9780470045299,eng,386,111,9,2006-10-30,Wiley,"Marsha Collier"
135,"What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond","Chris Malta/Lisa Suttora",3.62,0072262788,9780072262780,eng,260,24,0,2006-01-24,McGraw-Hill,"Chris Malta"
137,"Starting an eBay Business for Dummies","Marsha Collier",3.55,0764569244,9780764569241,eng,384,55,4,2004-09-17,Wiley,"Marsha Collier"
138,"eBay: Top 100 Simplified Tips & Tricks","Julia Wilkinson",4.27,0471933821,9780471933823,eng,260,9,0,2006-06-06,Wiley,"Julia Wilkinson"
139,"ebay Timesaving Techniques for Dummies","Marsha Collier",3.39,0764559915,9780764559914,eng,391,22,1,2004-05-31,Wiley,"Marsha Collier"
140,"eBay Business All-in-One Desk Reference for Dummies","Marsha Collier",3.89,0764584383,9780764584381,eng,864,17,3,2005-04-25,Wiley,"Marsha Collier"
141,"Ruby Cookbook","Lucas Carlson/Leonard Richardson",3.84,0596523696,9780596523695,eng,873,166,4,2006-07-29,"O'Reilly Media","Lucas Carlson"
142,"Ruby Ann's Down Home Trailer Park Cookbook","Ruby Ann Boxcar",4.12,0806523492,9780806523491,eng,240,50,5,2005-05-03,Citadel,"Ruby Ann Boxcar"
144,"Ruby Ann's Down Home Trailer Park BBQin' Cookbook","Ruby Ann Boxcar",4.08,0806525363,9780806525365,eng,206,13,2,2005-05-03,Citadel,"Ruby Ann Boxcar"
147,"Rails Cookbook: Recipes for Rapid Web Development with Ruby","Rob Orsini",3.48,0596527314,9780596527310,eng,514,64,1,2007-01-01,"O'Reilly Media","Rob Orsini"
151,"Anna Karenina","Leo Tolstoy/Richard Pevear/Larissa Volokhonsky",4.05,0143035002,9780143035008,eng,838,16643,1851,2004-05-31,"Penguin Classics","Leo Tolstoy"
152,"Anna Karenina","Leo Tolstoy/David Magarshack/Priscilla Meyer",4.05,0451528611,9780451528612,eng,960,109420,5696,2002-11-05,Signet,"Leo Tolstoy"
153,"Anna Karenina","Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley",4.05,0140449175,9780140449174,eng,837,2904,309,2003-01-30,"Penguin Books","Leo Tolstoy"
154,"CliffsNotes on Tolstoy's Anna Karenina","Marianne Sturman/Leo Tolstoy",3.85,0822001837,9780822001836,eng,80,16,3,1965-11-26,"Cliffs Notes","Marianne Sturman"
155,"Anna Karenina","Leo Tolstoy/Amy Mandelker/Constance Garnett",4.05,1593080271,9781593080273,eng,803,9564,726,2003-07-01,"Barnes & Noble Classics","Leo Tolstoy"
156,"Anna Karenina","Leo Tolstoy/Louise Maude/Aylmer Maude",4.05,0486437965,9780486437965,eng,752,474,72,2004-11-23,"Dover Publications","Leo Tolstoy"
157,"Anna Karenina","Leo Tolstoy/Constance Garnett/Amy Mandelker",4.05,1593081774,9781593081775,eng,803,303,48,2004-08-26,"Barnes & Noble","Leo Tolstoy"
159,"Dinner with Anna Karenina","Gloria Goldreich",2.99,0778322270,9780778322276,eng,360,411,65,2006-01-28,"Mira Books","Gloria Goldreich"
160,"Tolstoy: Anna Karenina","Anthony Thorlby",4.19,0521313252,9780521313254,eng,128,1204,33,1987-11-26,"Cambridge University Press","Anthony Thorlby"
162,Untouchable,"Mulk Raj Anand/E.M. Forster",3.71,0140183957,9780140183955,eng,160,3429,279,1990-07-03,"Penguin Books","Mulk Raj Anand"
163,"The Untouchable","John Banville",3.95,0679767479,9780679767473,eng,367,2163,216,1998-06-30,Vintage,"John Banville"
164,"The Untouchables","Eliot Ness/Oscar Fraley",3.89,1568491980,9781568491981,eng,256,613,31,1996-02-01,"Buccaneer Books","Eliot Ness"
165,"Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India","Narendra Jadhav",3.82,0743270797,9780743270793,eng,320,308,40,2005-09-27,Scribner,"Narendra Jadhav"
166,"Dalit: The Black Untaouchables of India","V.T. Rajshekar/Y.N. Kly",4.2,0932863051,9780932863058,eng,100,10,0,1995-01-28,"Clarity Press","V.T. Rajshekar"
168,"Growing Up Untouchable in India: A Dalit Autobiography","Vasant Moon/Gail Omvedt/Eleanor Zelliot",3.65,0742508803,9780742508804,eng,224,16,4,2000-12-20,"Rowman & Littlefield Publishers","Vasant Moon"
171,"The Evidence-Based Social Work Skills Book","Barry R. Cournoyer",3.4,0205358624,9780205358625,eng,216,10,0,2003-09-22,Pearson,"Barry R. Cournoyer"
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom","John Carratello/Patty Carratello/Theresa Wright",4.0,1557344035,9781557344038,eng,48,17,0,1991-09-28,"Teacher Created Resources","John Carratello"
180,"Wrinkles in Time","George Smoot/Keay Davidson",4.01,0380720442,9780380720446,eng,360,1035,23,1994-10-01,"Harper Perennial","George Smoot"
181,"A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1)","Madeleine L'Engle",4.0,0821925326,9780821925324,eng,250,36,6,2002-05-01,"EMC/Paradigm Publishing","Madeleine L'Engle"
182,"Literature Circle Guide: A Wrinkle in Time","Tara MacCarthy",3.6,043927169X,9780439271691,eng,32,15,0,2002-01-01,"Teaching Resources","Tara MacCarthy"
201,"Una arruga en el tiempo – A Wrinkle in Time","Madeleine L'Engle",4.0,0606105263,9780606105262,spa,205,6,1,1984-06-01,"Turtleback Books","Madeleine L'Engle"
204,"The Long Shadow (The Morland Dynasty #6)","Cynthia Harrod-Eagles",4.12,0751506435,9780751506433,eng,367,376,17,1994-06-01,"Little Brown Book Group","Cynthia Harrod-Eagles"
205,"A Long Shadow (Inspector Ian Rutledge #8)","Charles Todd",4.11,006078671X,9780060786717,eng,352,3086,237,2006-01-03,"William Morrow","Charles Todd"
207,"Long Way Round: Chasing Shadows Across the World","Ewan McGregor/Charley Boorman/Robert Uhlig",3.94,0743499344,9780743499347,eng,320,352,44,2005-11-01,"Atria Books","Ewan McGregor"
208,"A Shadow in Summer (Long Price Quartet #1)","Daniel Abraham",3.6,0765313405,9780765313409,eng,331,9852,633,2006-03-07,"Tor Books","Daniel Abraham"
213,"New Hope for the Dead (Hoke Mosely #2)","Charles Willeford/James Lee Burke",3.9,1400032490,9781400032495,eng,244,821,78,2004-08-10,"Vintage Crime/Black Lizard","Charles Willeford"
214,"Sideswipe: A Hoke Moseley Novel","Charles Willeford/Lawrence Block",4.05,1400032482,9781400032488,eng,215,731,72,2005-03-08,"Vintage Crime/Black Lizard","Charles Willeford"
216,"Miami Blues (Hoke Moseley #1)","Charles Willeford/Elmore Leonard",3.94,1400032466,9781400032464,eng,191,2897,178,2004-08-10,"Vintage Crime/Black Lizard","Charles Willeford"
230,"The Burnt Orange Heresy (Vintage Crime/Black Lizard)","Charles Willeford",3.89,0679732527,9780679732525,eng,144,98,11,1990-10-03,Vintage,"Charles Willeford"
231,"I am Charlotte Simmons","Tom Wolfe",3.42,0312424442,9780312424442,eng,738,20888,1688,2005-08-30,"Picador USA","Tom Wolfe"
237,"Poetry for Young People: Edward Lear","Edward Lear/Laura Huliska-Beith/Edward Mendelson",3.91,0806930772,9780806930770,eng,48,66,19,2001-10-01,Sterling,"Edward Lear"
244,"The Puffin Book of Nonsense Verse","Quentin Blake",4.02,0140366601,9780140366600,eng,287,81,6,1996-10-03,Puffin,"Quentin Blake"
245,"Henry Miller on Writing","Henry Miller/Thomas H. Moore",4.22,0811201120,9780811201124,eng,217,981,52,1964-02-01,"New Directions Publishing","Henry Miller"
247,"Quiet Days in Clichy","Henry Miller",3.69,080213016X,9780802130167,eng,154,3381,141,1994-01-13,"Grove Press","Henry Miller"
249,"Tropic of Cancer","Henry Miller/Jiří Níl",3.68,0802131786,9780802131782,eng,318,53206,2376,1994-01-06,"Grove Press","Henry Miller"
250,"Tropic of Capricorn","Henry Miller",3.78,0802151825,9780802151827,eng,348,14872,459,1994-01-13,"Grove Press","Henry Miller"
251,"Nexus (The Rosy Crucifixion #3)","Henry Miller",4.1,0802151787,9780802151780,eng,316,3261,58,1994-01-13,"Grove Press","Henry Miller"
252,"Sexus (The Rosy Crucifixion #1)","Henry Miller",3.98,0802151809,9780802151803,eng,506,7805,251,1994-01-12,"Grove Press","Henry Miller"
253,"The Air-Conditioned Nightmare","Henry Miller",3.83,0811201066,9780811201063,eng,292,2699,142,1970-01-17,"New Directions","Henry Miller"
264,"The Portrait of a Lady","Henry James/Patricia Crick",3.78,0141439637,9780141439631,eng,797,61640,1951,2003-09-30,"Penguin Classics","Henry James"
269,"The Portrait of a Lady","Henry James/Gabriel Brownstein/Mary Cregan",3.78,1593080964,9781593080969,eng,635,392,41,2004-01-16,"Barnes Noble Classics","Henry James"
277,Writing,"Marguerite Duras",3.75,1571290532,9781571290533,eng,91,778,44,1999-05-06,"Brookline Books","Marguerite Duras"
278,"The War","Marguerite Duras/Barbara Bray",3.85,1565842219,9781565842212,eng,192,963,65,1994-08-01,"The New Press","Marguerite Duras"
280,"The Ravishing of Lol Stein","Marguerite Duras/Richard Seever",3.66,0394743040,9780394743042,eng,181,2057,128,1986-03-12,Pantheon,"Marguerite Duras"
285,"Love Letters","Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari",3.68,1851681825,9781851681822,eng,178,203,8,1999-07-01,"One World (UK)","Kahlil Gibran"
288,"Kahlil Gibran: His Life and World","Jean Gibran/جبران خليل جبران/Kahlil Gibran",4.21,156656249X,9781566562492,eng,464,35,2,1998-04-01,"Interlink Publishing Group","Jean Gibran"
289,"The Beloved: Reflections on the Path of the Heart","Kahlil Gibran/John Walbridge/Robin Waterfield",4.19,014019553X,9780140195538,eng,102,328,16,1998-01-01,"Penguin Books","Kahlil Gibran"
290,"Jesus the Son of Man","Kahlil Gibran/جبران خليل جبران",3.98,0394431243,9780394431246,eng,216,1308,82,1995-02-21,Knopf,"Kahlil Gibran"
291,"The Broken Wings","Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris",3.92,0806501901,9780806501901,eng,132,6432,517,2003-03-03,Citadel,"Kahlil Gibran"
292,"Sand and Foam","Kahlil Gibran/جبران خليل جبران",4.08,067943920X,9780679439202,eng,100,3015,217,2011-06-14,Knopf,"Kahlil Gibran"
295,"Treasure Island","Robert Louis Stevenson",3.83,0753453800,9780753453803,eng,311,318753,6734,2001-09-15,Kingfisher,"Robert Louis Stevenson"
296,"Treasure Island","Robert Louis Stevenson/Scott McKowen",3.83,1402714572,9781402714573,eng,213,420,42,2004-10-01,"Sterling Children's Books","Robert Louis Stevenson"
297,"Treasure Island","Robert Louis Stevenson",3.83,1416500294,9781416500292,eng,245,5967,276,2005-06-01,"Simon & Schuster","Robert Louis Stevenson"
298,"Treasure Island","Robert Louis Stevenson/N.C. Wyeth/Timothy Meis",3.83,0689854684,9780689854682,eng,64,104,14,2003-07-01,"Atheneum Books for Young Readers","Robert Louis Stevenson"
299,"Treasure Island","Robert Louis Stevenson/Milo Winter",3.83,0517221144,9780517221143,eng,272,56,4,2002-09-03,"Gramercy Books","Robert Louis Stevenson"
302,"Treasure Island (Great Illustrated Classics)","Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson",4.05,1577658051,9781577658054,eng,232,91,16,2006-01-31,"Abdo Publishing Company","Deidre S. Laiken"
313,"100 Years of Lynchings","Ralph Ginzburg",4.61,0933121180,9780933121188,eng,270,88,4,1996-11-22,"Black Classic Press","Ralph Ginzburg"
324,"Cien años de soledad","Gabriel García Márquez",4.07,0785950109,9780785950103,spa,448,63,7,1990-01-01,"French & European","Gabriel García Márquez"
330,"On Beyond Zebra!","Dr. Seuss",4.04,0394800842,9780394800844,eng,64,2815,164,1955-09-12,"Random House Books for Young Readers","Dr. Seuss"
332,"The Wedding Clause","Debbie Raleigh",3.6,0821778250,9780821778258,eng,256,95,13,2005-06-07,Zebra,"Debbie Raleigh"
333,"The Zebra Wall","Kevin Henkes",3.44,0060733039,9780060733032,eng,147,217,24,2005-02-15,"Greenwillow Books","Kevin Henkes"
337,"El perfume: Historia de un asesino","Patrick Süskind",4.02,8432216062,9788432216060,spa,239,4136,255,2002-06-01,Booket,"Patrick Süskind"
348,"The Door Into Summer","Robert A. Heinlein",4.01,0345413997,9780345413994,eng,304,17232,649,1997-06-17,"Del Rey","Robert A. Heinlein"
350,"Stranger in a Strange Land","Robert A. Heinlein",3.92,0441788386,9780441788385,eng,528,251872,6241,1991-10-01,Ace,"Robert A. Heinlein"
354,"To Sail Beyond the Sunset","Robert A. Heinlein",3.87,0441748600,9780441748600,eng,434,10293,193,1988-06-01,"Ace Books","Robert A. Heinlein"
355,"Job: A Comedy of Justice","Robert A. Heinlein",3.78,0345316509,9780345316509,eng,439,15970,438,1985-10-12,"Del Rey","Robert A. Heinlein"
356,"Time for the Stars (Heinlein's Juveniles #10)","Robert A. Heinlein",3.97,0765314932,9780765314932,eng,256,6898,200,2006-08-08,"Tor Books","Robert A. Heinlein"
357,"The Long Dark Tea-Time of the Soul (Dirk Gently #2)","Douglas Adams",4.06,0671742515,9780671742515,eng,307,67803,1401,1991-02-15,"Pocket Books","Douglas Adams"
359,"The Salmon of Doubt (Dirk Gently #3)","Douglas Adams",3.93,0345455290,9780345455291,eng,298,22091,746,2005-04-26,"Del Rey","Douglas Adams"
362,"Wish You Were Here: The Official Biography of Douglas Adams","Nick Webb",4.14,0345476514,9780345476517,eng,368,2623,49,2005-12-27,"Del Rey","Nick Webb"
